"Label","Power (kW)"
"","2742.66"
"","2752.49"
"","2775.74"
"","2792.17"
"","2788.31"
"","2803.09"
"","2816.34"
"","2851.6"
"","2865.86"
"","2880.27"
"","2902.24"
"","2920.46"
"","2933.97"
"","2950.96"
"","2962.56"
"","2982.34"
"","2994.93"
"","3006.71"
"","3006.35"
"","3030.89"
"","3044.13"
"","3073.53"
"","3084.49"
"","3090.4"
"","3081.2"
"","3118.91"
"09:00","3129.28"
"","3149.06"
"","3150.15"
"","3157.36"
"","3172.86"
"","3209.12"
"","3227.58"
"","3224.77"
"","3261.29"
"","3280.21"
"","3284.86"
"","3309.76"
"","3289.55"
"","3302.95"
"","3326.71"
"","3331.76"
"","3343.09"
"","3379.96"
"","3388.7"
"","3364.24"
"","3414.84"
"","3428.59"
"","3431.4"
"","3453.19"
"","3466.44"
"","3450.13"
"","3490.4"
"","3492.5"
"","3242.67"
"","3406.21"
"","3477.02"
"","2144.24"
"","2898.27"
"","3304.49"
"","3561.39"
"","3425.17"
"","3657.47"
"","3628.06"
"","3507.33"
"","3599.52"
"","3696.83"
"","3468.33"
"","3596.98"
"","3754.09"
"","3683.6"
"","3446.02"
"","3762.59"
"","3434.36"
"","3244.91"
"","3831.75"
"","3745.52"
"","3021.3"
"","1631.17"
"","1701.46"
"","2151.15"
"","1452.16"
"","1812.79"
"","2113.09"
"","2635.67"
"","3589.21"
"10:00","3498.14"
"","3512.69"
"","3957.93"
"","4013.09"
"","3977.87"
"","3906.9"
"","3824.26"
"","3623.25"
"","2615.98"
"","2479.85"
"","1809.44"
"","2272.61"
"","2956.03"
"","3539.81"
"","3759.54"
"","3583.42"
"","3798.97"
"","2781.19"
"","3375.22"
"","3749.24"
"","3763.95"
"","3967.23"
"","3888.61"
"","3660.07"
"","3619.72"
"","4093.29"
"","3757.92"
"","3745.58"
"","2752.92"
"","2680.95"
"","3185.32"
"","3898.96"
"","4306.14"
"","4312.99"
"","4348.41"
"","4187.61"
"","4299.38"
"","3894.47"
"","2176.01"
"","2551.64"
"","1979.83"
"","2442.21"
"","2845.07"
"","2934.31"
"","3207.4"
"","3742.74"
"","4073.35"
"","4486.84"
"","4337.41"
"","4067.62"
"","4198.46"
"","3870.26"
"","3949.73"
"","4450.57"
"","4478.1"
"","4444.29"
"","4473.96"
"","3987.2"
"","3813.19"
"","4262.45"
"11:00","4501.4"
"","4494.1"
"","4462.4"
"","4422.7"
"","4439.91"
"","4452.36"
"","4437.51"
"","4382.08"
"","4404.54"
"","4435.2"
"","4482.3"
"","3827.54"
"","3728.72"
"","3143.44"
"","2212.4"
"","2152.45"
"","2027.68"
"","2507.76"
"","3175.72"
"","3813.69"
"","4386.49"
"","4516.42"
"","4516.88"
"","4510.36"
"","4328.36"
"","4007.12"
"","4017.92"
"","4382.75"
"","4229.8"
"","4138.85"
"","4008.78"
"","4335.18"
"","4421.77"
"","4285.61"
"","4219.88"
"","3865.62"
"","3724.35"
"","3439.4"
"","3600.28"
"","3799.72"
"","4072.54"
"","4218.58"
"","4146.26"
"","4478.66"
"","4205.54"
"","3832.27"
"","4166.96"
"","4014.97"
"","3743.72"
"","3853.82"
"","3890.23"
"","4259.36"
"","3157.29"
"","2212.99"
"","2214.86"
"","2244.58"
"","2689.74"
"","3215.29"
"","3914.66"
"","4383.76"
"12:00","4462.75"
"","3906.64"
"","3435.14"
"","2656.94"
"","2730.88"
"","3386.44"
"","3804.22"
"","4254.63"
"","4455.82"
"","4479.32"
"","4398.12"
"","4422.19"
"","4418.13"
"","4431.01"
"","4459.91"
"","4413.83"
"","4404.54"
"","4417.62"
"","4408.47"
"","4459.05"
"","4464.37"
"","4400.92"
"","4409.42"
"","4365.7"
"","4395.31"
"","4424.32"
"","4473.59"
"","4428.79"
"","4073"
"","3535.33"
"","3175.53"
"","3433.65"
"","3890.01"
"","4197.77"
"","4343.88"
"","3814.31"
"","3775.71"
"","3816.36"
"","3856.58"
"","3907.86"
"","3988.64"
"","3960.09"
"","3742.55"
"","3754.17"
"","4056.13"
"","4447.01"
"","4500.23"
"","4482.33"
"","4297.13"
"","3138.63"
"","2440.62"
"","1893.74"
"","1547.22"
"","1440.52"
"","1585.86"
"","1984.71"
"","1852.14"
"","2027.94"
"","2697.54"
"","3327.62"
"13:00","4011.13"
"","4208.15"
"","4297.58"
"","4300.19"
"","4382.64"
"","4364"
"","4240.7"
"","3624.63"
"","3353.47"
"","2911.7"
"","1876.37"
"","1904.56"
"","2564.05"
"","2325.87"
"","2388.12"
"","2183.86"
"","1739.13"
"","1628.36"
"","1400.41"
"","1911.36"
"","1644.48"
"","1999.31"
"","2696.76"
"","3175.95"
"","3031.69"
"","3149.52"
"","3829.47"
"","4030.1"
"","4050.85"
"","3925.25"
"","3858.7"
"","3462.91"
"","3316.83"
"","3169.94"
"","2584.94"
"","3349.19"
"","2329.88"
"","2339.3"
"","2702.67"
"","2114.89"
"","2274.04"
"","2711.08"
"","3062.04"
"","3009.34"
"","2579.69"
"","2125.79"
"","2098.75"
"","2190.44"
"","1705.55"
"","2193.38"
"","2710.13"
"","3166.1"
"","3776.84"
"","4150.61"
"","4121.17"
"","3465.79"
"","1798.34"
"","1666.9"
"","1360.56"
"","1157.52"
"14:00","1549.22"
"","1382.33"
"","1801.91"
"","1961.87"
"","2448.12"
"","3322.34"
"","3717.56"
"","3841.2"
"","3794.79"
"","3808.93"
"","3804.56"
"","3772.23"
"","3808.02"
"","3796.42"
"","3763"
"","3782.3"
"","3666.31"
"","3636.18"
"","3621.84"
"","2400.75"
"","1708.94"
"","1287.12"
"","1448.67"
"","1677.34"
"","2203.62"
"","3040.59"
"","3449.55"
"","3582.77"
"","3625.75"
"","3575.37"
"","3363.52"
"","3308.19"
"","3065.96"
"","2831.61"
"","2714.03"
"","3055.3"
"","3139.89"
"","2569.32"
"","2173.66"
"","1925.59"
"","2490.44"
"","2869.14"
"","3161.41"
"","3199.3"
"","3210.41"
"","3193.4"
"","3195.51"
"","3122.61"
"","2985.09"
"","3058.34"
"","3118.2"
"","3073.96"
"","2780.37"
"","3006.55"
"","2867.54"
"","2999.07"
"","3033.27"
"","3018.86"
"","3037.38"
"","3020.24"
"15:00","3044.81"
"","3028"
"","2972.49"
"","2824.79"
"","2950.08"
"","2962.85"
"","2969.85"
"","2976.77"
"","2972.84"
"","2792.09"
"","2673.77"
"","2508.04"
"","1881.82"
"","2115.52"
"","2457.39"
"","2748.06"
"","2729.9"
"","2707.24"
"","2552.41"
"","1537.78"
"","1197.79"
"","1795.46"
"","2392.27"
"","2596.65"
"","2572.28"
"","2540.33"
"","2515.78"
"","2495.48"
"","2480.26"
"","2459.9"
"","2456.83"
"","2440.75"
"","2422.22"
"","2401.26"
"","2384.99"
"","2369.54"
"","2352.56"
"","2337.21"
"","2323.28"
"","2307.9"
"","2275.21"
"","2238.36"
"","2016.01"
"","1809.74"
"","1958.77"
"","1550.99"
"","1582.57"
"","1871.06"
"","1996.81"
"","2109.59"
"","2095.41"
"","2079.4"
"","2067.74"
"","2069.53"
"","2062.07"
"","2055.02"
"","1956.44"
"","1583.31"
"","1537.19"
"","1888.8"
"16:00","1949.64"
"","1982.95"
"","1961.08"
"","1855.8"
"","1924.96"
"","1950.21"
"","1903.99"
"","1869.43"
"","1844.76"
"","1802.58"
"","1760.56"
"","1722.75"
"","1688.3"
"","1646.02"
"","1602.25"
"","1473.56"
"","1200.56"
"","836.83"
"","610.93"
"","563.02"
"","529.27"
"","519.25"
"","516.87"
"","513.9"
"","514.54"
"","509.08"
"","496.09"
"","490.24"
"","486.38"
"","598.28"
"","606.29"
"","697.72"
"","830.5"
"","865.43"
"","896.89"
"","887.65"
"","997.08"
"","987.92"
"","959.54"
"","929.37"
"","894.6"
"","765.69"
"","618.56"
"","633.78"
"","624.47"
"","682.88"
"","553.71"
"","375.9"
"","307.43"
"","297.88"
"","320.72"
"","434.7"
"","526.17"
"","459.63"
"","426.65"
"","510.87"
"","508.04"
"","537.22"
"","564.74"
"","574.34"
"17:00","545.81"
"","530.47"
"","513.62"
"","493.68"
"","472.51"
"","451.31"
"","432.06"
"","408.94"
"","362.04"
"","268.53"
"","205.77"
"","174.95"
"","197.5"
"","197.32"
"","174.43"
"","189.26"
"","206.57"
"","194.25"
"","179.67"
"","166.4"
"","152.2"
"","139.65"
"","126.54"
"","115.61"
"","105.45"
"","96.2"
"","88.02"
"","81.01"
"","74.16"
"","69.21"
"","63.1"
"","57"
"","51.93"
"","44.86"
"","38.02"
"","31.94"
"","25.43"
"","16.36"
"","9.73"
"","7.8"
"","4.2"
"","0.94"
"","0.46"
"","0.51"
"","0.36"
"","0.26"
"","0.29"
"","0.21"
"","0.14"
"","0.14"
"","0.15"
"","0.13"
"","0.14"
"","0.15"
"","0.14"
"","0.18"
"","0.18"
"","0.18"
"","0.18"
"","0.2"
"18:00","0.19"
"","0.2"
"","0.23"
"","0.18"
"","0.19"
"","0.16"
"","0.19"
"","0.18"
"","0.18"
"","0.21"
"","0.2"
"","0.22"
"","0.2"
"","0.19"
"","0.22"
"","0.22"
"","0.23"
"","0.2"
"","0.19"
"","0.2"
"","0.2"
"","0.2"
"","0.2"
"","0.2"
"","0.21"
"","0.22"
"","0.22"
"","0.21"
"","0.2"
"","0.22"
"","0.21"
"","0.22"
"","0.2"
"","0.21"
"","0.22"
"","0.22"
"","0.19"
"","0.21"
"","0.2"
"","0.2"
"","0.21"
"","0.22"
"","0.2"
"","0.23"
"","0.21"
"","0.22"
"","0.21"
"","0.21"
"","0.2"
"","0.19"
"","0.21"
"","0.21"
"","0.21"
"","0.2"
"","0.22"
"","0.2"
"","0.22"
"","0.22"
"","0.21"
"","0.2"
"19:00","0.21"
