"Label","Power (kW)"
"","3385.43"
"","3286.35"
"","2789.15"
"","2674.18"
"","2956.86"
"","3332.26"
"","3446.91"
"","3455.42"
"","3577.07"
"","3615.71"
"","3562.03"
"","3516.8"
"","3331.27"
"","2757.76"
"","2069.1"
"","2107.66"
"","2610.51"
"","2714.66"
"","2016.16"
"","2161.8"
"","2713"
"","3306.02"
"","2726.72"
"","2819.94"
"","2924.72"
"","2961.77"
"","2994.97"
"","3142.47"
"","3238.45"
"","3007.6"
"","3077.23"
"","3376.56"
"","3596.17"
"","3741.16"
"","3680.97"
"","3681.75"
"","3667.74"
"","3680.18"
"","3654.49"
"","3368.82"
"","3344.33"
"","3430.59"
"","3572.53"
"","3154.11"
"","2707.04"
"","2670.83"
"","2790.01"
"","2873.84"
"","2618.51"
"","2396.59"
"10:00","2548.2"
"","2866.87"
"","3186.83"
"","3474.8"
"","3874.82"
"","3900.25"
"","3881.92"
"","3889.73"
"","3875.02"
"","3888.46"
"","3893.07"
"","3907.99"
"","3745.85"
"","3700.55"
"","3810.99"
"","3905.13"
"","3924.92"
"","3916.46"
"","3881.38"
"","3828.55"
"","3907.33"
"","3891.38"
"","3955.85"
"","3939.62"
"","3952.54"
"","3963.3"
"","3977.97"
"","3968.66"
"","3972.22"
"","3977.43"
"","3983.59"
"","3950.93"
"","3976.95"
"","3979.82"
"","3980.76"
"","3986.15"
"","3991.71"
"","4004.67"
"","3994.44"
"","3959.16"
"","3983.7"
"","3998.75"
"","4009.56"
"","4009.39"
"","4019.61"
"","4050.88"
"","4024.55"
"","4026.96"
"","4044.71"
"","4022.41"
"","4000"
"","4016.78"
"","3934.46"
"","3983.88"
"","3993.1"
"","4002.77"
"","4089.18"
"","4020.98"
"","3855.79"
"","3243.21"
"11:00","3768.3"
"","3627.25"
"","3781.18"
"","3929"
"","4011.44"
"","3633.02"
"","3877.39"
"","3836.17"
"","3840.77"
"","3846.52"
"","3740.93"
"","3439.57"
"","3517.84"
"","3677.66"
"","3558.6"
"","3540.74"
"","3660.24"
"","3542.68"
"","3605.99"
"","3717.78"
"","3691.33"
"","3693.32"
"","3712.03"
"","3922.56"
"","4058.27"
"","3955.28"
"","3914.33"
"","3979.6"
"","4106.06"
"","4122.95"
"","4154.17"
"","4164.8"
"","4180.13"
"","4130.38"
"","4138.59"
"","4155.85"
"","4092.89"
"","4071.92"
"","4067.55"
"","4085.98"
"","4070.34"
"","4075.65"
"","4084.9"
"","4089.77"
"","4119.45"
"","4040.77"
"","4002.92"
"","4025.47"
"","3889.22"
"","3882.85"
"","3941.22"
"","3667.86"
"","3794.68"
"","3903.96"
"","4092.09"
"","4161.14"
"","4162.84"
"","4166.69"
"","4171.67"
"","4154.41"
"12:00","4145.85"
"","4127.46"
"","4136.21"
"","4141.71"
"","4058.06"
"","3936.81"
"","3752.02"
"","3807.88"
"","3865.24"
"","3899.64"
"","3660.6"
"","3697.61"
"","3708.69"
"","3926.24"
"","3921.1"
"","3938.06"
"","4041.34"
"","4003.25"
"","4027.95"
"","4066.99"
"","4072.31"
"","3854.06"
"","3716.4"
"","3799.78"
"","3696.38"
"","3609.81"
"","3609.3"
"","3624.9"
"","3615.81"
"","3714.81"
"","3724.28"
"","3863.39"
"","3996.12"
"","3753.7"
"","3783.52"
"","3838.24"
"","4020.54"
"","3956.46"
"","3966.37"
"","3982.7"
"","3914.71"
"","3895.15"
"","3864.51"
"","3694.64"
"","3615.02"
"","3605.24"
"","3376.6"
"","3241.91"
"","3405.37"
"","3402.87"
"","3459.79"
"","3467.22"
"","3328.98"
"","3364.54"
"","3161.59"
"","3318.73"
"","3178.62"
"","3407.83"
"","3535.62"
"","3484.2"
"13:00","3498.8"
"","3489.45"
"","3627.34"
"","3727.13"
"","3830"
"","3557.56"
"","3690.28"
"","3568.14"
"","3441.05"
"","3417.96"
"","3557.41"
"","3606.22"
"","3696.04"
"","3721.42"
"","3749.83"
"","3903.27"
"","3919"
"","3926.82"
"","3948.92"
"","3924.41"
"","3911.56"
"","3924.17"
"","3898.75"
"","3862.55"
"","3904.09"
"","3870.36"
"","3867.35"
"","3856.59"
"","3853.3"
"","3856.29"
"","3864.28"
"","3742.26"
"","3804.97"
"","3818.29"
"","3783.44"
"","3797.03"
"","3705.99"
"","3666.15"
"","3607.45"
"","3440.35"
"","3416.28"
"","3543.3"
"","3637.06"
"","3471.47"
"","3375.45"
"","3395.89"
"","3459.02"
"","3475.91"
"","3594.01"
"","3592.28"
"","3414.52"
"","3579.83"
"","3659.43"
"","3682.95"
"","3581.09"
"","3581.48"
"","3504.06"
"","3264.41"
"","3036.07"
"","3176.06"
"14:00","3126.93"
"","2998.5"
"","2971.87"
"","2995.24"
"","3114.5"
"","3263.83"
"","2995.61"
"","2798.18"
"","2917.86"
"","2981.5"
"","3195.38"
"","3284.17"
"","3200.73"
"","3195.2"
"","3349.96"
"","3438.32"
"","3102.31"
"","3083.47"
"","3275.18"
"","3392.17"
"","3359.55"
"","3098.02"
"","3248.2"
"","3319.74"
"","3306.57"
"","3282.16"
"","3265.67"
"","3250.95"
"","3236.96"
"","3227.46"
"","3221.28"
"","3190.31"
"","3197.84"
"","3189.76"
"","3185.54"
"","3174.9"
"","3162.65"
"","3147.76"
"","3136.97"
"","3124.69"
"","3109.56"
"","3098.1"
"","3085.67"
"","3073.94"
"","3065.52"
"","3048.99"
"","3032.75"
"","3015.29"
"","2990.63"
"","2986.43"
"","2971.67"
"","2957.6"
"","2943.74"
"","2929.43"
"","2920.75"
"","2909.34"
"","2892.82"
"","2878.18"
"","2866.11"
"","2851.88"
"15:00","2837.42"
"","2824.55"
"","2813.69"
"","2800.15"
"","2784.85"
"","2768.03"
"","2747.71"
"","2733.43"
"","2717.05"
"","2704.8"
"","2690.54"
"","2671.01"
"","2653.72"
"","2634.33"
"","2617.99"
"","2601.44"
"","2584.84"
"","2571.02"
"","2556.76"
"","2539.73"
"","2522.82"
"","2507.58"
"","2495.85"
"","2480.67"
"","2464.48"
"","2450.77"
"","2435.93"
"","2425.61"
"","2405.11"
"","2388.73"
"","2370.83"
"","2352.95"
"","2336.85"
"","2317.87"
"","2298.2"
"","2285.6"
"","2269.85"
"","2252.61"
"","2236.28"
"","2216.18"
"","2196.72"
"","2178.19"
"","2160.73"
"","2143.74"
"","2122.03"
"","2100.64"
"","2082.28"
"","2062.83"
"","2045.45"
"","2028.77"
"","2011.43"
"","1991.58"
"","1973.23"
"","1956.74"
"","1939.32"
"","1920.58"
"","1900.17"
"","1880.32"
"","1859.01"
"","1833.96"
"16:00","1821.93"
"","1801.58"
"","1776.75"
"","1755.27"
"","1735.32"
"","1715.4"
"","1693.6"
"","1672.62"
"","1654.89"
"","1634.28"
"","1615.65"
"","1596.74"
"","1581.17"
"","1557.82"
"","1537.46"
"","1512.21"
"","1490.69"
"","1465"
"","1440.33"
"","1418.78"
"","1390.55"
"","1360.28"
"","1334.03"
"","1305.99"
"","1270.04"
"","1239.22"
"","1209.05"
"","1178.27"
"","1151.95"
"","1126.28"
"","1098.04"
"","1070.17"
"","1051.93"
"","1039.68"
"","1024.72"
"","1001.66"
"","986.3"
"","970.93"
"","952.56"
"","932.52"
"","908.76"
"","890.03"
"","867.11"
"","852.15"
"","836.85"
"","819.33"
"","806.14"
"","791.14"
"","778.2"
"","762.07"
"","743.66"
"","721.67"
"","702.14"
"","680.41"
"","654.39"
"","634.65"
"","609.48"
"","585.43"
"","563.02"
"","541.75"
"17:00","518.69"
"","499.7"
"","484.48"
"","468.17"
"","451.02"
"","431.47"
"","415.59"
"","402.18"
"","388.78"
"","374.48"
"","358.74"
"","343.33"
"","325.79"
"","306.59"
"","287.17"
"","268.5"
"","249.47"
"","234.33"
"","217.73"
"","201.34"
"","187.5"
"","174.06"
"","160.12"
"","147.41"
"","135.65"
"","123.88"
"","112.23"
"","101.43"
"","91.28"
"","76.66"
"","65.25"
"","58.74"
"","54.49"
"","48.65"
"","42.47"
"","35.91"
"","25.06"
"","18.87"
"","13.36"
"","11.43"
"","7.49"
"","7.75"
"","4.69"
"","3.9"
"","0.67"
"","0.54"
"","0.58"
"","0.4"
"","0.3"
"","0.26"
"","0.22"
"","0.17"
"","0.13"
"","0.14"
"","0.15"
"","0.15"
"","0.15"
"","0.15"
"","0.21"
"","0.19"
"18:00","0.19"
"","0.2"
"","0.19"
"","0.19"
"","0.19"
"","0.25"
"","0.2"
"","0.18"
"","0.18"
"","0.17"
"","0.2"
"","0.21"
"","0.19"
"","0.21"
"","0.19"
"","0.21"
"","0.2"
"","0.21"
"","0.21"
"","0.2"
"","0.2"
"","0.2"
"","0.2"
"","0.2"
"","0.21"
"","0.19"
"","0.22"
"","0.21"
"","0.21"
"","0.22"
"","0.19"
"","0.22"
"","0.21"
"","0.22"
"","0.22"
"","0.21"
"","0.21"
"","0.21"
"","0.2"
"","0.2"
"","0.21"
"","0.21"
"","0.21"
"","0.21"
"","0.22"
"","0.21"
"","0.2"
"","0.2"
"","0.21"
"","0.2"
"","0.21"
"","0.19"
"","0.21"
"","0.2"
"","0.21"
"","0.21"
"","0.21"
"","0.19"
"","0.21"
"","0.2"
"19:00","0.21"
