"Label","Power (kW)"
"","1711.22"
"","1540.26"
"","1455.79"
"","1446.87"
"","1442.08"
"","1656.25"
"","2040.24"
"","2397.89"
"","2733.91"
"","2447.06"
"","2700.36"
"","2710.54"
"","2535.67"
"","2728.6"
"","2303.28"
"","2154.9"
"","2470.84"
"","2384.67"
"","2085.73"
"","2282.92"
"","2455.5"
"","2496.47"
"","2277"
"","1898.51"
"","1780.49"
"","1840.06"
"","1685.95"
"","1389.67"
"","1494.82"
"","1873.14"
"","2461.85"
"","2818.56"
"","2868.81"
"","2841.55"
"","2699.33"
"","2773.26"
"","2455.79"
"","2463.4"
"","2700.72"
"","3174.94"
"","3095.38"
"","2633.13"
"","2299.52"
"","2432.26"
"","2762.96"
"","2743.01"
"","3072"
"","2960.36"
"11:00","2619.49"
"","2134.08"
"","1709.23"
"","1594.74"
"","1673.46"
"","1830.77"
"","2104.03"
"","2386.71"
"","3017.01"
"","3433.43"
"","3582.53"
"","3646.77"
"","3662.38"
"","3619.42"
"","3611.14"
"","3574.3"
"","3593.32"
"","3544.11"
"","3537.62"
"","3552.48"
"","3591.6"
"","3679.04"
"","3063.16"
"","2417.67"
"","1447.77"
"","1738.15"
"","2274.29"
"","2862.81"
"","3351.17"
"","3067.57"
"","3145.77"
"","2468.85"
"","2006.1"
"","2014.35"
"","2494.85"
"","2772.08"
"","3297.8"
"","3552.03"
"","3424.84"
"","3500.99"
"","3788.98"
"","4050.94"
"","4130.1"
"","4277.93"
"","4150.52"
"","3925.51"
"","3629.75"
"","3484.81"
"","3237.04"
"","3370.08"
"","3633.3"
"","3689.31"
"","3486.55"
"","3370.79"
"","3583.9"
"","3581.02"
"","3817.68"
"","4100.69"
"","3989.23"
"","3799.26"
"12:00","3700.03"
"","3392.39"
"","2818.42"
"","2715.8"
"","2476.11"
"","2395.53"
"","2403.64"
"","2443.82"
"","2531.8"
"","2702.47"
"","2604.78"
"","2682.7"
"","2766.31"
"","2923.96"
"","3092.46"
"","3063.56"
"","3042.91"
"","2953.09"
"","2763.48"
"","2722.66"
"","2734.52"
"","2458.26"
"","2163.53"
"","1981.75"
"","1735.3"
"","1975.13"
"","2114.68"
"","2222.48"
"","2331.49"
"","2491.75"
"","2465.81"
"","2180.74"
"","2260.81"
"","2236.28"
"","2241.81"
"","1983.82"
"","2051.83"
"","2158.55"
"","2158.33"
"","2168.58"
"","2054.25"
"","1838.58"
"","1978.24"
"","2034.8"
"","1874.36"
"","1636.83"
"","1462.18"
"","1306.43"
"","1329.98"
"","1410.7"
"","1580.33"
"","1663.76"
"","1747.43"
"","1884.29"
"","1941.67"
"","2020.85"
"","2071.07"
"","2061.36"
"","2106.43"
"","2127.11"
"13:00","1922.32"
"","1830.63"
"","2247.58"
"","2410.27"
"","2485.69"
"","2339.91"
"","2504.64"
"","2705.22"
"","2679.38"
"","2413.41"
"","1988.86"
"","1607.64"
"","1633.4"
"","1808.14"
"","1801.27"
"","1903.32"
"","2059.15"
"","2149.67"
"","2479.7"
"","2545.16"
"","2877.55"
"","2503.19"
"","2467.06"
"","2402.08"
"","2098.37"
"","1884.46"
"","1956.42"
"","1812.87"
"","1622.47"
"","1674.02"
"","1782.21"
"","1875.71"
"","1831.62"
"","1893.09"
"","1907.25"
"","1909.58"
"","1822.68"
"","1987.47"
"","2098.25"
"","2087.82"
"","2039.66"
"","1927.94"
"","1780.94"
"","1847.38"
"","1927.43"
"","1918.73"
"","1935.87"
"","1870.74"
"","1740.16"
"","1704.6"
"","1684.21"
"","1696.52"
"","1866.05"
"","1926.4"
"","2056.85"
"","2006.76"
"","2520.03"
"","2567.49"
"","2631.6"
"","2500.33"
"14:00","2525.89"
"","2971.15"
"","2981.59"
"","3164.17"
"","3302.11"
"","3369.38"
"","3532.19"
"","2954.37"
"","2375.15"
"","2504.83"
"","2656.7"
"","2643.84"
"","2534.49"
"","2763.44"
"","3082.14"
"","2858.44"
"","3086.56"
"","2133.51"
"","2547.72"
"","2911.84"
"","2979.22"
"","2892.52"
"","2997.26"
"","2827.04"
"","2487.99"
"","2268.01"
"","2484.98"
"","2690.65"
"","3063.7"
"","3191.98"
"","3190.98"
"","3210.8"
"","3237.49"
"","3180.7"
"","2935.56"
"","2914.59"
"","2992.82"
"","3044.68"
"","2993.54"
"","2927.92"
"","2966.81"
"","2939.3"
"","2920.43"
"","3053.76"
"","3144.7"
"","3028.7"
"","3189.62"
"","3258.89"
"","3228.98"
"","3181.13"
"","3134"
"","3147.43"
"","3122.28"
"","3091.79"
"","3080.64"
"","3068.12"
"","3056.32"
"","3057.52"
"","3055.29"
"","3042.49"
"15:00","3024.25"
"","2904.48"
"","2795.83"
"","2678.63"
"","2409.23"
"","2456.23"
"","2557.08"
"","2333.17"
"","1974.76"
"","1951.51"
"","2214.33"
"","2539.7"
"","2623.84"
"","2661.4"
"","2673"
"","2657.66"
"","2635.68"
"","2616.18"
"","2606.97"
"","2589.63"
"","2566.49"
"","2553.95"
"","2543.01"
"","2527.7"
"","2511.48"
"","2500.59"
"","2489.46"
"","2488.53"
"","2467.57"
"","2453.09"
"","2434.87"
"","2415.86"
"","2391.4"
"","2364.16"
"","2311.94"
"","2129.69"
"","2120.73"
"","2153.73"
"","2183.17"
"","2190.41"
"","2159.98"
"","2136.41"
"","2088.85"
"","2046.96"
"","1999.92"
"","1981.06"
"","1942.15"
"","1958.41"
"","1962.63"
"","1971.19"
"","1979.63"
"","1977.87"
"","1968.32"
"","1949.09"
"","1923.44"
"","1892.07"
"","1857"
"","1821.66"
"","1788.32"
"","1763.52"
"16:00","1745.3"
"","1725.28"
"","1699.59"
"","1668.29"
"","1638.58"
"","1605.43"
"","1559.35"
"","1561.29"
"","1548.44"
"","1541.12"
"","1530.43"
"","1521.52"
"","1504.13"
"","1480.24"
"","1453.12"
"","1415.71"
"","1383.54"
"","1355.03"
"","1333.98"
"","1314.18"
"","1288.44"
"","1262.4"
"","1236.07"
"","1210.77"
"","1187.58"
"","1164.86"
"","1141.2"
"","1120.03"
"","1094.09"
"","1069.98"
"","1046.42"
"","1022.44"
"","1000.16"
"","978.24"
"","959.36"
"","937.61"
"","918.96"
"","900.67"
"","881.56"
"","859.15"
"","834.57"
"","804.22"
"","786.48"
"","745.39"
"","713.05"
"","683.97"
"","660.33"
"","638.17"
"","617.59"
"","599.51"
"","581.54"
"","565.14"
"","546.99"
"","530.78"
"","514.72"
"","497.48"
"","478.41"
"","458.75"
"","440.86"
"","424.18"
"17:00","405.86"
"","388.34"
"","371.86"
"","356.99"
"","342.78"
"","327.8"
"","311.54"
"","292.62"
"","275.69"
"","256.79"
"","239.79"
"","224.99"
"","210.09"
"","193.33"
"","180.39"
"","166.36"
"","154.42"
"","141.5"
"","128.45"
"","115.3"
"","103.26"
"","93.09"
"","82.45"
"","74.87"
"","65.05"
"","56.81"
"","49.56"
"","43.87"
"","38.32"
"","21.55"
"","13.05"
"","21.88"
"","12.95"
"","3.86"
"","2.61"
"","1.7"
"","1.54"
"","0.92"
"","0.54"
"","0.29"
"","0.3"
"","0.24"
"","0.23"
"","0.22"
"","0.15"
"","0.14"
"","0.16"
"","0.15"
"","0.15"
"","0.14"
"","0.15"
"","0.19"
"","0.19"
"","0.17"
"","0.2"
"","0.18"
"","0.17"
"","0.21"
"","0.25"
"","0.2"
"18:00","0.19"
"","0.18"
"","0.16"
"","0.17"
"","0.2"
"","0.2"
"","0.21"
"","0.2"
"","0.2"
"","0.2"
"","0.2"
"","0.21"
"","0.19"
"","0.18"
"","0.21"
"","0.21"
"","0.2"
"","0.2"
"","0.21"
"","0.2"
"","0.21"
"","0.22"
"","0.21"
"","0.2"
"","0.2"
"","0.21"
"","0.2"
"","0.21"
"","0.19"
"","0.2"
"","0.19"
"","0.2"
"","0.22"
"","0.19"
"","0.21"
"","0.21"
"","0.19"
"","0.22"
"","0.21"
"","0.2"
"","0.21"
"","0.21"
"","0.21"
"","0.21"
"","0.23"
"","0.22"
"","0.19"
"","0.22"
"","0.21"
"","0.23"
"","0.21"
"","0.21"
"","0.2"
"","0.21"
"","0.21"
"","0.23"
"","0.22"
"","0.2"
"","0.21"
"","0.21"
"19:00","0.22"
